时间戳,日期,网上签约套数,网上签约面积(㎡),住宅签约套数,住宅签约面积(㎡)
1612629677,2021-02-05,1172,98364.17,1087,94085.99
1612629677,2021-02-06,376,32792.61,360,31194.86
1612714740,2021-02-07,376,32792.61,360,31194.86
1612800492,2021-02-08,884,73625.50,816,69004.11
1613748839,2021-02-18,181,15776.36,155,14657.22
1613829920,2021-02-19,478,41880.40,426,39270.17
1613873522,2021-02-20,702,59734.71,632,54486.06
1614007908,2021-02-21,200,16648.94,189,16168.85
1614007908,2021-02-22,771,64303.7300,707,61538.0800
1614176749,2021-02-23,754,66275.42,698,63294.89
1614266063,2021-02-24,849,73120.89,771,68842.02
1614329386,2021-02-25,815,70253.15,751,65964.76
1614391383,2021-02-26,1006,86890.33,954,83790.79
1614445718,2021-02-27,340,29941.67,325,29280.58
1614611482,2021-02-28,325,27709.18,307,26785.78
1614696350,2021-03-01,551,49341.96,503,45723.30
