时间戳,日期,可售房源套数,可售房源面积(m2),可售住宅套数,可售住宅面积(m2),新发布房源套数,新发布房源面积(m2),新发布住宅套数,新发布住宅面积(m2),网上签约套数,网上签约面积(㎡),住宅签约套数,住宅签约面积(㎡)
1612718707,2021/2/6,15775,1405953.7500,12806,1194390.8200,444,36139.2600,421,34175.7800,444,36139.2600,421,34175.7800
1612800657,2021/2/7,15488,1382404.2300,12537,1172481.4800,425,35509.6900,399,34015.7300,884,73625.5000,816,69004.1100
1612965428,2021/2/8,15379,1374676.5100,12436,1165005.8900,261,24782.5800,250,24333.8100,884,73625.50,816,69004.11
1612965428,2021/2/9,15379,1374676.5100,12436,1165005.8900,261,24782.5800,250,24333.8100,504,44337.4800,464,42333.4800
1613748812,2021/2/18,15576,1392896.9100,12617,1181433.1600,404,35959.1900,367,33524.8400,181,15776.3600,155,14657.2200
1613830183,2021/2/19,15781,1409821.9100,12820,1198120.8900,721,63568.7600,684,61046.3300,478,41880.4000,426,39270.1700
1613873492,2021/2/20,15652,1399321.7300,12691,1188097.6400,592,49501.6700,560,47710.1800,702,59734.7100,632,54486.0600
1614099587,2021/2/22,15761,1410711.9900,12797,1198823.4300,704,63583.8800,669,61409.3300,771,64303.7300,707,61538.0800
1614176748,2021/2/23,15827,1415809.7400,12859,1203729.4100,725,64288.7800,681,61916.1900,754,66275.4200,698,63294.8900
1614266068,2021/2/24,15822,1415446.2000,12864,1203780.2700,651,57722.6300,625,56422.2600,849,73120.8900,771,68842.0200
1614329393,2021/2/25,15861,1418035.5900,12901,1205549.8100,757,65836.6000,720,62352.7700,815,70253.1500,751,65964.7600
