时间戳,日期,房地产中介,发布房源,签约,退房
1612807703,2021年1月,北京链家置地房地产经纪有限公司,6927,8617,147
1612807703,2021年1月,北京我爱我家房地产经纪有限公司,1754,2332,90
1612807703,2021年1月,北京麦田房产经纪有限公司,719,1011,15
1612807703,2021年1月,北京金色时光房地产经纪有限公司,187,325,22
1612807703,2021年1月,21世纪不动产,228,314,14
1612807703,2021年1月,北京我爱我家华熙房地产经纪有限公司,155,277,3
1612807703,2021年1月,北京市兴商房地产经纪中心有限公司,103,170,6
1612807703,2021年1月,北京中原房地产经纪有限公司,84,143,3
1612807703,2021年1月,北京市易合房地产经纪有限责任公司,75,133,10
1612807703,2021年1月,北京吉永达房地产经纪有限公司,56,91,0
1612807703,2021年1月,北京链家置地房地产经纪有限公司,6927,8617,147
1612807703,2021年1月,北京我爱我家房地产经纪有限公司,1754,2332,90
1612807703,2021年1月,北京麦田房产经纪有限公司,719,1011,15
1612807703,2021年1月,北京金色时光房地产经纪有限公司,187,325,22
1612807703,2021年1月,21世纪不动产,228,314,14
